corpus	^smaller\Wscale
author_AfDB-2015	
author_AfDB-2016	0
author_AfDB-2017	0
author_AfDB-2018	0
author_AfDB-2019	0
author_AfDB-2020	0
author_AfDB-2021	0
author_AsDB-2015	0
author_AsDB-2016	
author_AsDB-2017	
author_AsDB-2018	0
author_AsDB-2019	0
author_AsDB-2020	0
author_AsDB-2021	
author_IDB-2015	0
author_IDB-2016	0
author_IDB-2017	0
author_IDB-2018	1.3180000
author_IDB-2019	0
author_IDB-2020	
author_IDB-2021	
author_IFAD-2015	0
author_IFAD-2016	0
author_IFAD-2017	0
author_IFAD-2018	0
author_IFAD-2019	
author_IFAD-2020	
author_IFAD-2021	
author_World-Bank-2015	0
author_World-Bank-2016	0
author_World-Bank-2017	0
author_World-Bank-2018	0
author_World-Bank-2019	0
author_World-Bank-2020	0
author_World-Bank-2021	0
date_2015-Africa	0
date_2015-Asia	0
date_2015-Latin-America-and-Caribbean	0
date_2015-Middle-East	0
date_2016-Africa	0
date_2016-Asia	0
date_2016-Latin-America-and-Caribbean	0
date_2016-Middle-East	
date_2017-Africa	0
date_2017-Asia	0
date_2017-Latin-America-and-Caribbean	0
date_2017-Middle-East	0
date_2018-Africa	0
date_2018-Asia	0
date_2018-Latin-America-and-Caribbean	1.1870000
date_2018-Middle-East	0
date_2019-Africa	0
date_2019-Asia	0
date_2019-Latin-America-and-Caribbean	0
date_2019-Middle-East	0
date_2020-Africa	0
date_2020-Asia	0
date_2020-Latin-America-and-Caribbean	0
date_2020-Middle-East	
date_2021-Africa	0
date_2021-Asia	
date_2021-Latin-America-and-Caribbean	
date_2021-Middle-East	0
region_Africa-AfDB	0
region_Africa-AsDB	
region_Africa-IDB	
region_Africa-IFAD	0
region_Africa-World-Bank	0
region_Asia-AfDB	
region_Asia-AsDB	0
region_Asia-IDB	
region_Asia-IFAD	0
region_Asia-World-Bank	0
region_Latin-America-and-Caribbean-AfDB	
region_Latin-America-and-Caribbean-AsDB	
region_Latin-America-and-Caribbean-IDB	.4040000
region_Latin-America-and-Caribbean-IFAD	0
region_Latin-America-and-Caribbean-World-Bank	0
region_Middle-East-AfDB	
region_Middle-East-AsDB	
region_Middle-East-IDB	
region_Middle-East-IFAD	0
region_Middle-East-World-Bank	0
